src|alt|url|freezeframe
kururu.png|A stamp with a yellow checked background, the Keroro Gunso logo, and an image of Sgt. Major Kururu|https://deviantart.com/view/194172443|
kindnesschangeslives.png|A stamp with a pink and purple gradient, and text that reads, "Kindness changes lives"|https://deviantart.com/view/514294834|
kerorogunso.gif|An animated stamp with the Sgt. Frog logo and a scene from the opening of the Keroro Platoon marching in front of a waving flag|https://deviantart.com/view/278336704|true
kazoo-kid.gif|A animated stamp of a boy enthusiastically playing the kazoo|https://deviantart.com/view/630649581|true
justkeep.gif|A pink stamp with text that reads, "Just keep" and text that reads, "learning", "moving", "growing", "believing", "trying", and "going"|https://deviantart.com/view/565360260|true
jonathan.gif|An animated stamp of Jonathan Joestar from "JoJo's Bizarre Adventure". Erina (who is offscreen) is cupping Jonathan's cheek with her hand, and he reacts by embracing the touch|https://deviantart.com/view/750554707|true
itisamystery.gif|A pink and black gradient stamp with a pixel ghost and text that reads, "it is a mystery"|https://deviantart.com/view/105072640|
intj.gif|An animated stamp with a lacy border, an image of a castle with a pink and purple overlay, text that reads "INTJ" and text that alternates between "introverted", "intuitive", "thinking", and "judging"|https://deviantart.com/view/630943052|true
inspiration.png|A pink stamp with white text that reads in capital letters, "The biggest favour you can do for yourself is to turn envy into inspiration"|https://deviantart.com/view/252588127|
inactive.png|A pink stamp that reads in capital letters, "Sometimes I'm just INACTIVE"|https://deviantart.com/view/361174494|
i-am-strong.png|A pink stamp with white text that reads in capital letters, "I am strong, I can do this"|https://deviantart.com/view/710667148|
hnk.png|A stamp of Bort, Phosphophyllite, and Diamond from the series, "Houseki no Kuni" or "Land of the Lustrous"|https://deviantart.com/view/721919318|
hard-on-yourself.png|A pink stamp with white text that reads in capital letters, "Don't be so hard on yourself"|https://deviantart.com/view/803720180|
gmd.gif|A animated stamp of a scene from Disney's "The Great Mouse Detective"|https://deviantart.com/view/382639660|true
giovanni.gif|A animated stamp with a beige background, an image of Giovanni as he appears in Pokémon HeartGold and SoulSilver, and the Earth badge spinning|https://deviantart.com/view/156521526|true
gamecube.png|A stamp with a black background and an image of the Nintendo Gamecube logo|https://deviantart.com/view/685836227|
fruits.png|A stamp of several berry fruits, including blueberries, raspberries, and strawberries. There is text at the bottom left that reads "Love fruits". The word "love" is replaced by a heart|https://deviantart.com/view/389632601|
emolga.png|A stamp of the Pokemon Emolga winking towards the camera|https://deviantart.com/view/205886503|
dvd_logo.gif|A animated stamp of a television and a DVD logo with alternating colors and bouncing around the screen|https://zeusofthecrows.neocities.org/stadt/gallery/|true
donuts.gif|A animated stamp with a blue striped background, wiggling pixel donuts, and text that reads in capital letters, "I love donuts". The word "love" is replaced by a pixel heart|https://deviantart.com/view/366391499|true
dontforgettoeat.gif|An animated pink-striped stamp with text that reads, "Don't forget to eat!!" The word "eat" is wiggling slightly|https://deviantart.com/view/152544210|true
donchan.gif|An animated stamp of Don-chan from the Taiko no Tatsujin series dancing with a pink and blue background|https://deviantart.com/view/152544210|true
destroy-cringe-culture.png|A striped pink stamp with several sparkles and text that reads in capital letters, "Destroy cringe culture"|https://deviantart.com/view/693185742|
deadbeats.gif|An animated stamp of a scene from the "Ghost" music video with three Deadbeats singing|https://deviantart.com/view/492564730|true
claude.gif|An stamp of Claude Faustus from Black Butler Season 2 adjusting his glasses|https://deviantart.com/view/507228125|true
caddicarus.gif|A black and purple gradient stamp with the Caddicarus logo and an image of Caddicarus. There are also two small explosions on the stamp|https://aloftmelevar.com/mels-place/webgraphics|true
askforhelp.png|A mint stamp with a ribbon border and text that says "It's ok to ask for help"|https://deviantart.com/view/589351278|
art.gif|A pink stamp with text that says in capital letters "Art makes me", the text below it cycles through "happy, excited, confident, unique".|https://deviantart.com/view/321315631|true
antismoke.gif|A pastel pink stamp with a faint white grid background, an animated image of a cigarette with a red "X" over it, and text that reads, "Keep your smoke away from us"|https://deviantart.com/view/807028106|true
anti-ai-941484651.png|A black anti-AI stamp with text that reads, "AI" and is also crossed out in red|https://deviantart.com/view/941484651|
animalcrossing.gif|An animated pastel pink stamp with a spinning image of the iconic furniture leaf from the Animal Crossing series. The text reads, "I love Animal Crossing!"|https://utsushimi.neocities.org/grfx|true
adhd_awareness.png|A purple stamp with a dark purple ribbon on the side and text that reads in all capital letters, "ADHD Awareness"|https://deviantart.com/view/801861400|
rainbow-big.png|A liquid-like rainbow stamp with a lacy border and several hearts|https://deviantart.com/view/747480387|
poogie-love-big.gif|An animated stamp of a scene from Monster Hunter of a hunter petting a Poogie wearing a watermelon suit|https://deviantart.com/view/524774833|true
pink-water-big.gif|An animated stamp with several heart decorations and an image of a pink ocean|https://deviantart.com/view/746751581|true
petty_drama.gif|A pink stamp with a rainbow border, white sparkles, and wiggling rainbow text that reads, "Petty drama is funny"|https://deviantart.com/view/720107983|true
mental-health-big.png|A pastel blue stamp with white text that reads "Mental health is just as important as physical health"|https://deviantart.com/view/702076049|
glad-i-met-you-big.png|A white stamp with a pink border, ribbons on the corners of the stamps, and pink text that reads in all capital letters, "I'm glad that I met you"|https://deviantart.com/view/763965977|
donuts-big.png|A large stamp with a pink background and several donuts|https://deviantart.com/view/746747750|
crona-big.gif|An animated stamp with a purple border, moon-shaped pixels in the corners, and a scene of Crona from Soul Eater hugging a pillow|https://deviantart.com/view/862087955|true
cherry-blossoms-big-746088159.gif|A large animated stamp of cherry blossoms fluttering in the wind|https://deviantart.com/view/746088159|true
black_cats-big-155258054.gif|A large black stamp with two black cats on opposite sides of the stamp and text that reads, "I love black cats". The word "love" is replaced by a blinking and flashing red heart|https://deviantart.com/view/155258054|true
