src|alt|freezeframe
dgmn_gallantmon.png|Gallantmon from the Digimon franchise
dgmn_beelzemon.png|Beelzemon from the Digimon franchise
dgmn_neptunemon.png|Neptunemon from the Digimon franchise
dgmn_venusmon.png|Venusmon from the Digimon franchise
arthur.png|Arthur Morgan from Red Dead Redemption 2
tmgc_maskutchi.gif|Maskutchi from the original Tamagotchi|true
tmgc_maskutchi_car.png|Maskutchi from the original Tamagotchi, riding a car
crk_silent_salt.png|Silent Salt Cookie from Cookie Run: Kingdom
crk_venom_dough.png|Venom Dough Cookie from Cookie Run: Kingdom
meat.png|an icon of the Well-Done Steak from Monster Hunter
